ID,Gender,Treatment,Test1,Test2
1,Male,Control,98,32
2,Female,Experimental,87,33
3,Female,Control,89,54
4,Female,Control,88,44
5,Male,Experimental,76,64
6,Male,Control,68,54
7,Female,Control,78,44
8,Female,Experimental,98,32
9,Female,Experimental,93,64
10,Male,Experimental,76,37
11,Female,Control,75,43
12,Female,Control,65,56
13,Male,Control,76,78
14,Female,Control,78,99
15,Female,Control,89,87
16,Female,Experimental,81,56
17,Male,Control,78,78
18,Female,Control,83,56
19,Male,Control,88,67
20,Female,Control,90,88
21,Male,Control,93,81
22,Male,Experimental,89,93
23,Female,Experimental,86,87
24,Male,Control,77,80
25,Male,Control,89,99
